file,VMD_pred,VMD_gt,VMD_error,RSF_pred,RSF_gt,RSF_error,CoveragePercentage_pred,CoveragePercentage_gt,CoveragePercentage_error,NoDroplets_pred,NoDroplets_gt,NoDroplets_error,NoOverlappedDroplets_pred,NoOverlappedDroplets_gt,NoOverlappedDroplets_error,OverlappedDropletsPercentage_pred,OverlappedDropletsPercentage_gt,OverlappedDropletsPercentage_error
LadoOposto_850_Arv1_15m_cut_25-8_593639575971732,388.3326936187109,338.8,0.1462003943881667,1.503116207285938,0.89,0.6888946149280203,4.20458984375,5.72,0.2649318454982517,46,51.0,0.09803921568627451,4,0.0,0,8.695652173913043,0.0,0
LadoOposto_850_Arv1_15m_cut_26-7_250883392226148,363.1423888359614,311.25,0.16672253441272744,1.0048206038820384,0.55,0.826946552512797,1.8628472222222223,2.41,0.22703434762563393,24,20.0,0.2,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_27-8_593639575971732,184.40291726730828,100.5,0.834854898182172,0.45447229231835007,0.0,inf,5.375,0.69,6.789855072463769,3,1.0,2.0,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_28-8_593639575971732,233.8862718964877,179.27,0.30465929545650516,0.0,0.0,nan,2.3125,2.19,0.055936073059360755,1,1.0,0.0,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_29-8_593639575971732,217.50981474049277,132.09,0.6466788912142688,0.7204915028125263,0.0,inf,2.15625,1.19,0.8119747899159665,2,1.0,1.0,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_3-8_593639575971732,433.3170020886961,389.25,0.11321002463377286,1.103575230207558,0.7,0.5765360431536545,4.09228515625,4.41,0.07204418225623586,40,32.0,0.25,24,0.0,0,60.0,0.0,0
LadoOposto_850_Arv1_15m_cut_30-8_593639575971732,192.25333122204012,229.78,0.16331564443363167,0.6069516205598908,0.24,1.5289650856662118,6.75,5.69,0.18629173989455178,3,2.0,0.5,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_31-8_593639575971732,214.0842492426863,148.45,0.44213034181668115,0.0,0.0,nan,1.9375,1.5,0.2916666666666667,1,1.0,0.0,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_32-8_593639575971732,243.1833657665638,167.35,0.45314231112377545,0.75,0.33,1.2727272727272727,2.65625,2.75,0.03409090909090909,2,2.0,0.0,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_33-8_593639575971732,273.2433230643749,214.27,0.27522902442887437,0.0,0.0,nan,3.15625,3.13,0.008386581469648597,1,1.0,0.0,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_4-8_593639575971732,377.7178648047374,342.84,0.10173219229009872,1.055986495328865,0.6,0.759977492214775,2.806640625,3.83,0.2671956592689295,28,32.0,0.125,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_5-8_593639575971732,398.6649927867724,363.0,0.09825066883408379,1.0894236358324711,0.62,0.7571348965039857,3.369140625,4.28,0.21281761098130847,35,34.0,0.029411764705882353,8,0.0,0,22.857142857142858,0.0,0
LadoOposto_850_Arv1_15m_cut_6-8_593639575971732,417.6811471534062,362.37,0.1526372137688169,1.4098487081204507,0.88,0.6021008046823303,4.3798828125,5.63,0.22204568161634103,38,42.0,0.09523809523809523,0,0.0,0,0.0,0.0,0
LadoOposto_850_Arv1_15m_cut_7-8_593639575971732,376.7380502754274,322.83,0.1669858757718533,0.9922170809634877,0.63,0.5749477475610916,3.02880859375,4.04,0.2502949025371287,34,37.0,0.08108108108108109,8,0.0,0,23.52941176470588,0.0,0
LadoOposto_850_Arv1_15m_cut_8-7_250883392226148,337.9647677980434,301.51,0.12090732578701671,1.276851815004654,0.77,0.6582491103956545,2.2077546296296298,3.38,0.3468181569143107,34,30.0,0.13333333333333333,4,0.0,0,11.76470588235294,0.0,0
LadoOposto_850_Arv1_15m_cut_9-8_593639575971732,313.5556941812477,303.03,0.03473482553294304,1.3694811180017858,0.54,1.5360761444477513,2.21044921875,2.04,0.08355353860294115,29,21.0,0.38095238095238093,0,0.0,0,0.0,0.0,0
