                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.83971,                 1.5209,                0.39422,                0.80361,                0.95649,                0.84646,                0.91439,                0.66334,                0.79012,                0.70001,                0.74139,                0.33838,                0.87479,                 1.7485,                0.43944,                 0.8052,              0.0010496,              0.0010496,              0.0010496
                     26,                0.86037,                 1.5332,                0.39653,                0.80313,                0.96326,                 0.8443,                0.91679,                 0.7207,                0.81257,                0.71112,                0.77354,                0.36956,                0.75775,                  1.747,                0.41372,                0.80416,                0.00101,                0.00101,                0.00101
                     27,                0.86513,                 1.5337,                0.39646,                0.80271,                0.95964,                0.83215,                0.91041,                0.63999,                0.76067,                0.67802,                0.73633,                0.34123,                0.99098,                 1.8453,                0.48574,                0.81058,              0.0009704,              0.0009704,              0.0009704
                     28,                0.84524,                  1.511,                0.39142,                0.80399,                0.96206,                0.84836,                0.91461,                0.67366,                 0.7987,                 0.7047,                0.75508,                0.35516,                0.88495,                 1.7606,                0.44753,                0.80406,              0.0009308,              0.0009308,              0.0009308
                     29,                0.85047,                 1.5067,                0.39362,                0.80228,                0.95996,                0.84718,                0.91716,                0.72848,                 0.8137,                0.71883,                0.78215,                0.38822,                0.69099,                 1.6763,                0.39544,                0.79766,              0.0008912,              0.0008912,              0.0008912
                     30,                0.84039,                 1.5006,                0.39028,                 0.8012,                 0.9651,                0.84856,                0.91894,                0.73882,                0.83747,                0.73354,                0.79522,                0.39663,                0.66783,                 1.6321,                0.40538,                0.79747,              0.0008516,              0.0008516,              0.0008516
                     31,                0.83587,                 1.4946,                0.39126,                0.80046,                0.96479,                0.85033,                0.92104,                0.71367,                0.81668,                0.72001,                0.77808,                0.38079,                0.73907,                 1.7621,                0.42397,                0.80055,               0.000812,               0.000812,               0.000812
                     32,                0.83445,                 1.4842,                0.38978,                0.80129,                0.97341,                0.84495,                0.91956,                0.76244,                0.83601,                 0.7245,                0.78901,                0.39411,                0.61082,                 1.7227,                0.38433,                0.79672,              0.0007724,              0.0007724,              0.0007724
                     33,                0.83239,                 1.5084,                0.38818,                0.80129,                0.96125,                0.84497,                0.91775,                0.72693,                0.80784,                0.70669,                0.76904,                0.37328,                0.71753,                 1.6997,                0.39487,                0.79871,              0.0007328,              0.0007328,              0.0007328
                     34,                0.82369,                 1.4794,                0.39137,                0.79966,                0.96622,                0.85055,                0.92124,                0.74262,                0.81526,                0.71528,                0.76785,                0.37558,                0.67079,                 1.6314,                0.39649,                0.79599,              0.0006932,              0.0006932,              0.0006932
                     35,                0.82719,                 1.4936,                 0.3887,                0.80185,                0.96273,                0.84736,                0.91941,                0.73829,                0.81293,                0.71338,                0.77193,                0.37359,                0.65134,                 1.6649,                0.38341,                0.79684,              0.0006536,              0.0006536,              0.0006536
                     36,                0.82592,                 1.4718,                0.38785,                 0.7993,                 0.9624,                0.84773,                 0.9178,                0.67805,                0.78873,                0.69782,                0.75152,                0.35593,                  0.872,                 1.7702,                0.44166,                0.80462,               0.000614,               0.000614,               0.000614
                     37,                0.82981,                 1.4885,                0.38849,                0.79959,                0.96406,                0.84589,                0.91784,                0.69303,                 0.7934,                0.70047,                0.75386,                 0.3542,                0.80887,                 1.7422,                0.43223,                0.80145,              0.0005744,              0.0005744,              0.0005744
                     38,                0.81812,                 1.4782,                0.38778,                0.79951,                0.97046,                0.84995,                0.92298,                0.75868,                0.82358,                0.71796,                0.77644,                0.38636,                0.59591,                 1.7072,                0.38078,                0.79561,              0.0005348,              0.0005348,              0.0005348
                     39,                0.82526,                 1.4735,                0.38408,                0.79985,                0.96602,                 0.8496,                0.91991,                0.69029,                0.79439,                0.70482,                0.75642,                0.35871,                0.81901,                 1.6902,                0.43072,                0.80249,              0.0004952,              0.0004952,              0.0004952
                     40,                0.81504,                 1.4678,                0.38849,                0.79962,                0.96348,                0.85021,                0.91988,                0.70559,                0.79435,                0.70302,                0.75554,                0.36053,                0.74068,                 1.7461,                0.41228,                0.79877,              0.0004556,              0.0004556,              0.0004556
                     41,                0.75965,                 1.3768,                0.36871,                0.79711,                0.96567,                   0.85,                0.92014,                0.72591,                0.80917,                0.71426,                0.77044,                0.37709,                0.72609,                  1.729,                0.41489,                0.79884,               0.000416,               0.000416,               0.000416
                     42,                0.74753,                   1.37,                 0.3738,                0.79757,                0.96389,                0.85061,                0.92069,                0.68765,                 0.7958,                0.70677,                0.75828,                 0.3619,                0.83762,                 1.7469,                0.44057,                0.80212,              0.0003764,              0.0003764,              0.0003764
                     43,                0.75636,                 1.3624,                0.36707,                 0.7961,                0.96472,                0.85078,                0.92158,                0.71894,                0.80079,                0.70775,                0.76367,                0.36937,                0.71465,                 1.6912,                0.41629,                0.79738,              0.0003368,              0.0003368,              0.0003368
                     44,                0.74453,                 1.3626,                0.37715,                0.79551,                0.96828,                0.85046,                0.92113,                0.72706,                 0.8173,                0.71521,                0.76773,                0.37351,                0.70715,                 1.7433,                0.42567,                0.79913,              0.0002972,              0.0002972,              0.0002972
                     45,                0.73795,                 1.3477,                 0.3744,                0.79637,                0.96353,                0.85372,                0.92254,                0.70765,                0.80926,                0.71607,                0.76917,                0.37272,                0.77123,                 1.7002,                 0.4375,                0.80193,              0.0002576,              0.0002576,              0.0002576
                     46,                0.72863,                 1.3335,                0.36992,                0.79612,                0.96374,                0.85179,                0.92141,                0.70656,                0.79991,                0.70706,                0.75864,                 0.3667,                0.77155,                 1.7241,                0.43846,                0.80047,               0.000218,               0.000218,               0.000218
                     47,                0.72767,                  1.332,                0.36769,                0.79593,                0.96412,                0.85222,                0.92121,                0.72708,                 0.8025,                0.70887,                0.76236,                0.37568,                0.69824,                 1.6578,                0.41649,                 0.7969,              0.0001784,              0.0001784,              0.0001784
                     48,                0.73078,                 1.3328,                0.37493,                0.79499,                0.96474,                0.85447,                0.92258,                0.70964,                0.80249,                0.71126,                0.75792,                0.36576,                0.72435,                 1.6614,                0.42883,                0.79736,              0.0001388,              0.0001388,              0.0001388
                     49,                0.72491,                 1.3332,                  0.373,                0.79443,                0.96381,                0.85352,                0.92223,                0.71256,                0.80098,                0.71072,                0.75672,                0.36629,                0.71723,                 1.6746,                0.43932,                0.79771,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.7076,                 1.3088,                0.37235,                0.79509,                0.96369,                0.85188,                0.92133,                 0.7047,                0.79695,                0.70611,                  0.752,                 0.3642,                0.70832,                 1.6683,                0.43551,                 0.7965,               5.96e-05,               5.96e-05,               5.96e-05
