                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.69627,                0.65565,                0.36337,                0.78454,                0.99569,                0.82869,                0.90841,                0.79843,                0.92442,                0.76785,                0.85735,                0.50974,                0.50979,                0.63598,                0.35033,                0.77994,              0.0015248,              0.0015248,              0.0015248
                     26,                0.70134,                0.65039,                0.36373,                0.78556,                0.99554,                 0.8294,                0.91022,                 0.7607,                0.92382,                0.76951,                0.85847,                0.49675,                0.66449,                0.70044,                0.36885,                0.78964,               0.001505,               0.001505,               0.001505
                     27,                 0.6813,                0.65057,                0.36193,                0.78413,                0.99528,                0.82873,                0.91142,                0.81156,                 0.9294,                0.77364,                0.85934,                0.49664,                0.51598,                 0.6184,                0.32785,                0.78229,              0.0014852,              0.0014852,              0.0014852
                     28,                0.70968,                0.65494,                0.36267,                0.78587,                0.99643,                0.82922,                0.91244,                0.82825,                0.93263,                0.77455,                0.86521,                0.53525,                0.48353,                0.65878,                0.32153,                  0.783,              0.0014654,              0.0014654,              0.0014654
                     29,                0.68912,                0.65961,                0.35104,                0.78453,                0.99652,                0.82877,                0.91156,                0.85856,                0.93493,                0.77715,                0.86602,                0.55806,                0.34985,                0.62208,                0.29445,                 0.7773,              0.0014456,              0.0014456,              0.0014456
                     30,                0.68517,                0.64104,                0.34886,                0.78385,                0.99518,                0.82862,                0.91156,                0.79604,                0.92111,                0.76404,                0.86088,                0.52541,                0.55433,                0.58985,                0.32892,                0.78286,              0.0014258,              0.0014258,              0.0014258
                     31,                0.68787,                0.65488,                0.35405,                0.78407,                0.99594,                0.82885,                0.91158,                0.75516,                0.91407,                0.75946,                0.84608,                0.47085,                0.65436,                0.69265,                0.36027,                0.78753,               0.001406,               0.001406,               0.001406
                     32,                 0.6805,                0.64314,                0.34594,                0.78457,                 0.9956,                0.82932,                0.91305,                0.80744,                0.92251,                0.76829,                0.85972,                0.49588,                0.49682,                0.64849,                0.31416,                0.78268,              0.0013862,              0.0013862,              0.0013862
                     33,                0.67271,                0.63822,                0.35157,                 0.7837,                0.99573,                 0.8289,                 0.9105,                0.78226,                0.91603,                0.76298,                0.84983,                0.49349,                0.62308,                0.65703,                0.35829,                0.78509,              0.0013664,              0.0013664,              0.0013664
                     34,                0.68306,                0.63857,                0.36142,                0.78356,                0.99536,                0.82966,                0.91069,                0.79362,                0.91545,                0.76359,                0.85204,                0.49591,                0.54799,                0.64757,                 0.3313,                0.78259,              0.0013466,              0.0013466,              0.0013466
                     35,                0.67369,                0.63814,                0.35694,                0.78356,                0.99534,                0.82931,                0.91252,                0.79335,                0.91992,                0.76682,                0.85555,                0.49706,                    inf,                0.63152,                0.32074,                0.78225,              0.0013268,              0.0013268,              0.0013268
                     36,                0.66284,                0.63652,                0.35625,                0.78274,                0.99591,                0.82949,                 0.9061,                0.79165,                0.93098,                0.77447,                 0.8512,                0.50532,                0.56866,                0.65373,                0.36228,                 0.7847,               0.001307,               0.001307,               0.001307
                     37,                0.66695,                0.63933,                0.36085,                0.78273,                0.99594,                0.82935,                0.91113,                0.77001,                0.92227,                0.76794,                0.84776,                0.48984,                0.72879,                0.65835,                0.39444,                 0.7911,              0.0012872,              0.0012872,              0.0012872
                     38,                0.66898,                0.63304,                0.35379,                0.78371,                0.99599,                0.82929,                0.91124,                0.81329,                0.92195,                0.76644,                0.85605,                0.50766,                0.48442,                0.59883,                0.31858,                0.78083,              0.0012674,              0.0012674,              0.0012674
                     39,                0.66012,                0.63889,                0.35864,                0.78225,                0.99629,                0.82951,                0.91183,                0.75533,                0.92261,                0.76743,                0.84744,                0.49672,                0.64688,                0.65059,                0.37016,                0.78547,              0.0012476,              0.0012476,              0.0012476
                     40,                0.66067,                0.62896,                0.35471,                0.78215,                0.99559,                0.82898,                0.91196,                0.78372,                0.91821,                 0.7643,                0.85284,                0.48666,                 0.5756,                0.66551,                 0.3451,                0.78466,              0.0012278,              0.0012278,              0.0012278
                     41,                0.66477,                0.64043,                0.36333,                0.78217,                  0.996,                0.83003,                0.91301,                0.82073,                0.93061,                0.77421,                0.86121,                0.51939,                0.45237,                0.63227,                0.32117,                0.77869,               0.001208,               0.001208,               0.001208
                     42,                0.65682,                0.62708,                0.36241,                0.78225,                0.99569,                0.83015,                 0.9117,                0.81074,                0.92865,                0.77212,                0.84669,                 0.5137,                0.46451,                0.59064,                0.35348,                0.77764,              0.0011882,              0.0011882,              0.0011882
                     43,                0.65004,                 0.6241,                0.37048,                0.78177,                0.99572,                0.82996,                 0.9126,                0.80099,                0.93074,                0.77469,                0.85608,                 0.5161,                0.52278,                0.62868,                0.34912,                0.78125,              0.0011684,              0.0011684,              0.0011684
                     44,                0.65409,                0.62977,                0.36822,                0.78221,                0.99576,                0.82943,                0.91236,                0.77244,                0.92111,                0.76684,                0.84876,                0.49893,                0.60795,                0.63072,                0.38646,                0.78444,              0.0011486,              0.0011486,              0.0011486
                     45,                0.66697,                0.63444,                0.36456,                0.78167,                0.99637,                0.82962,                0.91223,                0.81564,                0.92888,                0.77257,                0.85834,                0.50781,                0.48379,                0.66796,                0.33138,                 0.7793,              0.0011288,              0.0011288,              0.0011288
                     46,                0.67041,                0.63184,                0.35542,                0.78201,                 0.9965,                0.82994,                0.91149,                0.81019,                0.92749,                0.77111,                0.85961,                0.50541,                0.50218,                0.59009,                0.33163,                0.77992,               0.001109,               0.001109,               0.001109
                     47,                0.66961,                0.64131,                0.37022,                0.78101,                0.99613,                0.82987,                 0.9124,                0.79521,                0.92256,                0.76781,                0.84442,                0.49823,                 0.4785,                0.66038,                0.32525,                0.77823,              0.0010892,              0.0010892,              0.0010892
                     48,                0.64995,                0.62408,                 0.3538,                0.78155,                0.99608,                0.83015,                0.91235,                0.77471,                0.92255,                0.76696,                0.84999,                0.49403,                0.60699,                0.64063,                0.36626,                0.78536,              0.0010694,              0.0010694,              0.0010694
                     49,                0.66475,                0.63764,                0.36756,                0.78072,                0.99587,                0.82956,                 0.9123,                0.75513,                0.91158,                0.75896,                0.83762,                0.47391,                0.61717,                0.69973,                 0.3619,                0.78546,              0.0010496,              0.0010496,              0.0010496
                     50,                0.65346,                0.62777,                0.36522,                0.77977,                0.99605,                0.83011,                0.91315,                0.77354,                0.92004,                0.76679,                0.83587,                0.47927,                0.62205,                0.62522,                0.35577,                0.78553,              0.0010298,              0.0010298,              0.0010298
