                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.77097,                0.65505,                0.38581,                0.79294,                0.99576,                0.82899,                0.91202,                0.77291,                0.92197,                0.76756,                0.85669,                 0.4857,                0.62667,                0.63881,                0.35583,                0.79039,               0.009175,               0.009175,               0.009175
                     27,                0.77259,                0.65457,                0.38112,                0.79231,                0.99526,                0.82925,                0.91249,                0.76264,                0.92405,                0.76966,                0.86017,                0.49142,                0.71802,                0.64621,                0.37852,                0.79533,               0.009142,               0.009142,               0.009142
                     28,                0.76938,                0.65549,                0.37943,                0.79215,                0.99603,                0.82932,                0.91137,                0.79142,                0.93361,                0.77749,                0.86966,                0.51774,                0.64725,                0.62216,                0.37007,                0.79116,               0.009109,               0.009109,               0.009109
                     29,                0.76503,                0.65363,                 0.3803,                0.79183,                0.99577,                0.82949,                 0.9118,                0.83511,                0.92881,                0.77301,                0.86645,                 0.5403,                0.41649,                0.59835,                0.30816,                0.78351,               0.009076,               0.009076,               0.009076
                     30,                0.75732,                0.64492,                0.37639,                0.79068,                0.99595,                0.82947,                0.91247,                0.81337,                0.93274,                0.77677,                0.87002,                0.54093,                0.51446,                0.62903,                0.32676,                0.78619,               0.009043,               0.009043,               0.009043
                     31,                0.75811,                0.65524,                0.37921,                 0.7904,                0.99614,                0.82952,                0.90949,                0.76271,                0.91736,                0.76363,                0.85079,                0.47442,                0.61353,                 0.6693,                  0.354,                0.79221,                0.00901,                0.00901,                0.00901
                     32,                0.73666,                0.64073,                 0.3695,                0.79108,                0.99583,                0.82918,                0.91065,                0.79802,                0.92659,                0.77142,                0.86042,                0.50344,                0.56844,                0.62207,                0.33369,                0.78801,               0.008977,               0.008977,               0.008977
                     33,                 0.7381,                0.64492,                0.36677,                0.79033,                0.99542,                0.82981,                0.91261,                0.77349,                0.92918,                0.77396,                0.86693,                0.50791,                0.67137,                0.65993,                0.37974,                0.79066,               0.008944,               0.008944,               0.008944
                     34,                0.74044,                0.64728,                0.36802,                0.78933,                0.99614,                0.82977,                0.91121,                0.79493,                0.93045,                0.77488,                0.86576,                0.52269,                 0.5703,                0.66629,                0.35286,                0.78492,               0.008911,               0.008911,               0.008911
                     35,                0.73789,                0.64948,                0.36569,                0.78985,                0.99526,                0.82931,                 0.9115,                0.76164,                0.91881,                0.76606,                0.85638,                0.48134,                0.67522,                 0.6729,                0.35783,                0.79189,               0.008878,               0.008878,               0.008878
                     36,                0.71881,                0.63312,                 0.3597,                0.78854,                0.99642,                0.82958,                0.91277,                0.80161,                0.93042,                0.77368,                0.86582,                0.51023,                0.55083,                0.61813,                0.33048,                0.78657,               0.008845,               0.008845,               0.008845
                     37,                0.72631,                0.63897,                0.35908,                0.78897,                0.99294,                0.82901,                0.90905,                0.80199,                0.92932,                 0.7732,                0.86307,                0.51819,                0.54977,                0.62517,                0.32293,                0.78774,               0.008812,               0.008812,               0.008812
                     38,                0.71265,                0.63029,                0.35619,                0.78925,                0.99061,                 0.8176,                0.88726,                0.79986,                0.92595,                0.76534,                0.83879,                0.49015,                0.47351,                0.59826,                0.31269,                0.78783,               0.008779,               0.008779,               0.008779
                     39,                0.71477,                0.63677,                0.35597,                0.78839,                0.99381,                0.82816,                 0.9006,                0.74803,                0.91905,                0.76579,                 0.8473,                0.48781,                0.67941,                0.66907,                0.35396,                0.79169,               0.008746,               0.008746,               0.008746
