Wall time,Step,Value
1725636832.7052243,0,0.6844972372055054
1725636908.2982488,1,0.568722128868103
1725636966.6686375,2,0.48269787430763245
1725637024.9034064,3,0.4281187653541565
1725637083.8843627,4,0.4050888419151306
1725637142.9924443,5,0.3943270146846771
1725637201.3803813,6,0.36075353622436523
1725637260.4076412,7,0.3816128671169281
1725637320.5368369,8,0.3819778561592102
1725637381.9285111,9,0.3745979070663452
1725637440.894634,10,0.36848801374435425
1725637502.2266965,11,0.3772851824760437
1725637560.8795226,12,0.36324310302734375
1725637619.10632,13,0.35958749055862427
1725637679.4812632,14,0.36522915959358215
1725637738.2245975,15,0.34962719678878784
1725637796.7978282,16,0.3358548879623413
1725637857.3622174,17,0.3337044417858124
1725637916.7922332,18,0.33595094084739685
1725637975.1122222,19,0.32901421189308167
1725638033.7135038,20,0.336699515581131
1725638091.9631567,21,0.3296530842781067
1725638150.7152681,22,0.3142239451408386
1725638209.3004346,23,0.3138352036476135
1725638268.1149955,24,0.30432313680648804
1725638326.485432,25,0.30321642756462097
1725638385.2872663,26,0.2865232825279236
1725638444.6162322,27,0.2957819700241089
1725638502.9652789,28,0.29998674988746643
1725638561.5676632,29,0.27730971574783325
1725638620.4038346,30,0.2824837565422058
1725638678.9242883,31,0.28856581449508667
1725638737.6679873,32,0.29160386323928833
1725638795.9299989,33,0.2966018617153168
1725638854.7116258,34,0.28311073780059814
1725638913.0117228,35,0.27616384625434875
1725638971.4715633,36,0.2823367118835449
1725639030.5369647,37,0.2775404453277588
1725639090.8217037,38,0.27223271131515503
1725639149.1421466,39,0.27362319827079773
1725639208.188153,40,0.27425938844680786
1725639266.5680559,41,0.2828202545642853
1725639325.6737022,42,0.27430203557014465
1725639384.1369445,43,0.27695783972740173
1725639443.2508028,44,0.2670615017414093
1725639502.0862894,45,0.2874768376350403
1725639560.4745533,46,0.2850533425807953
1725639619.247932,47,0.26095837354660034
1725639677.5896873,48,0.25927481055259705
1725639736.407386,49,0.25556737184524536
1725639796.576812,50,0.25860342383384705
1725639854.9678948,51,0.2653587758541107
1725639913.3599265,52,0.2622142732143402
1725639972.1544871,53,0.2545190751552582
1725640031.3196144,54,0.2581822872161865
1725640089.7005184,55,0.26616644859313965
1725640148.2820926,56,0.2580801248550415
1725640207.2045696,57,0.2699364721775055
1725640265.6575992,58,0.25101545453071594
1725640323.8588655,59,0.2544856369495392
1725640383.21663,60,0.2456546276807785
1725640441.8073268,61,0.267193078994751
1725640500.192912,62,0.25968870520591736
1725640559.1283505,63,0.24058210849761963
1725640617.9057946,64,0.2572065591812134
1725640676.2971666,65,0.24823150038719177
1725640734.8995254,66,0.2528584897518158
1725640793.7149634,67,0.24720239639282227
1725640852.052333,68,0.24825546145439148
1725640910.4322133,69,0.2487824261188507
1725640969.2315388,70,0.25042924284935
1725641027.6253521,71,0.246450275182724
1725641085.972147,72,0.25039440393447876
1725641144.799971,73,0.24374456703662872
1725641204.737543,74,0.2635708749294281
1725641263.3194053,75,0.23836207389831543
1725641321.5399806,76,0.24552714824676514
1725641380.6347027,77,0.2366255521774292
1725641439.0149558,78,0.24517908692359924
1725641497.4652615,79,0.2450469732284546
1725641556.420922,80,0.23017844557762146
1725641614.8109798,81,0.254152774810791
1725641673.2260659,82,0.2404206544160843
1725641731.9336333,83,0.23012098670005798
1725641790.6695213,84,0.2503637373447418
1725641849.1541622,85,0.2254609763622284
1725641907.5127833,86,0.25084811449050903
1725641966.3064673,87,0.24124005436897278
1725642024.696733,88,0.23120450973510742
1725642082.988891,89,0.2560686767101288
1725642142.6588342,90,0.24307015538215637
1725642201.2401087,91,0.23970341682434082
1725642259.810876,92,0.2451225072145462
1725642319.622582,93,0.24809324741363525
1725642379.3225398,94,0.22858066856861115
1725642438.164725,95,0.2331829071044922
1725642498.1274054,96,0.24233631789684296
1725642556.7204447,97,0.25893813371658325
1725642615.2894142,98,0.2490989863872528
1725642673.681472,99,0.23050281405448914
