                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4506,                 2.8233,                0.63313,                0.83156,                0.96454,                0.50606,                0.66335,                0.49584,                0.75416,                0.39624,                0.48655,                0.19974,                 1.2703,                 2.8759,                0.60182,                0.84025,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.4498,                 2.8242,                0.63137,                0.83078,                 0.9629,                 0.5052,                0.66289,                0.49465,                0.75786,                0.39872,                0.48742,                0.19204,                 1.2563,                 2.8194,                0.59025,                0.83951,              0.0017624,              0.0017624,              0.0017624
                     26,                  1.401,                 2.7767,                0.61444,                  0.829,                0.96746,                0.50774,                0.66634,                0.50212,                0.76551,                0.40366,                 0.4936,                0.19811,                 1.2446,                 2.8336,                0.60713,                0.83857,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.4449,                 2.8002,                0.62467,                0.82903,                0.96563,                0.50844,                0.66693,                0.49805,                0.76532,                0.40553,                0.49885,                0.20375,                 1.2673,                 2.8676,                0.61629,                0.83849,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.4132,                 2.7738,                0.61347,                  0.828,                0.96516,                0.50722,                 0.6655,                0.49702,                0.73695,                0.38923,                0.47103,                0.18402,                 1.2603,                 2.9154,                0.59962,                0.83945,              0.0017327,              0.0017327,              0.0017327
                     29,                  1.399,                 2.7691,                0.61341,                0.82769,                 0.9708,                0.50652,                0.66477,                0.51204,                0.77985,                0.40962,                0.50723,                0.21065,                 1.1937,                 2.7871,                0.58211,                0.83719,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.4343,                 2.7953,                 0.6221,                0.82911,                0.97177,                0.50726,                0.66588,                0.48829,                 0.8006,                0.41943,                0.52659,                0.22941,                 1.2883,                 2.8752,                0.61299,                0.83855,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.4004,                 2.7571,                0.60863,                0.82652,                0.97154,                0.50752,                0.66563,                0.51024,                0.78603,                0.41309,                0.51205,                0.21367,                  1.202,                 2.7846,                0.59463,                 0.8362,               0.001703,               0.001703,               0.001703
                     32,                 1.4061,                 2.7504,                0.61137,                0.82681,                 0.9712,                0.50808,                0.66673,                0.51176,                0.78817,                0.41398,                0.50983,                0.21304,                  1.191,                 2.7818,                0.58996,                0.83626,              0.0016931,              0.0016931,              0.0016931
                     33,                  1.406,                 2.7857,                0.60975,                0.82674,                0.97053,                0.50931,                 0.6683,                0.51421,                0.77714,                0.40947,                 0.5051,                0.20538,                 1.1919,                 2.7927,                0.58427,                0.83576,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.3621,                 2.7372,                0.60067,                0.82595,                0.97179,                0.50861,                0.66616,                0.50746,                0.80117,                0.42063,                0.52528,                0.22346,                 1.2145,                  2.798,                0.60237,                 0.8359,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.3801,                 2.7562,                0.60658,                0.82599,                0.96519,                0.50811,                0.66574,                0.50682,                0.74508,                0.39364,                 0.4786,                0.18674,                 1.2266,                 2.8095,                0.58304,                0.83624,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.4008,                 2.7689,                0.61166,                0.82684,                0.96985,                0.50858,                0.66803,                0.50421,                0.78616,                 0.4141,                0.51354,                0.21603,                 1.2283,                 2.8331,                0.58586,                0.83652,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.3879,                 2.7602,                0.60549,                0.82588,                0.96644,                0.50902,                0.66732,                0.50502,                0.77211,                0.40798,                0.50572,                0.20791,                 1.2274,                 2.8479,                0.58668,                0.83492,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.3546,                 2.7073,                0.59519,                0.82539,                0.96799,                0.50866,                0.66665,                0.51425,                0.77038,                0.40589,                0.50138,                0.20371,                 1.1776,                 2.7809,                0.57174,                0.83444,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.3662,                 2.7365,                0.60205,                0.82524,                  0.968,                0.50923,                 0.6677,                 0.5089,                0.77442,                0.40848,                0.50167,                0.20491,                 1.1929,                  2.793,                0.58596,                 0.8352,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.3704,                 2.7387,                0.59828,                 0.8251,                0.96948,                 0.5083,                0.66586,                0.49882,                0.77002,                0.40578,                0.49791,                0.20189,                 1.2294,                 2.8019,                0.59364,                0.83742,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.3639,                 2.6998,                 0.5929,                0.82364,                0.97054,                0.50963,                0.66814,                0.52014,                0.79098,                0.41712,                0.51691,                0.21564,                 1.1465,                 2.7571,                0.57094,                0.83389,               0.001604,               0.001604,               0.001604
                     42,                 1.3504,                 2.7008,                0.58765,                0.82306,                0.97189,                 0.5104,                0.66836,                0.52032,                 0.7836,                 0.4126,                0.51075,                0.21139,                 1.1483,                 2.7717,                0.58569,                0.83262,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.3575,                 2.7085,                0.59296,                0.82355,                0.96953,                0.50924,                0.66829,                0.52578,                0.78284,                0.41269,                0.51062,                0.21409,                  1.129,                 2.7372,                0.55915,                0.83187,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.3674,                 2.7271,                0.59628,                 0.8229,                 0.9697,                0.50976,                0.66727,                 0.5224,                0.76777,                0.40478,                0.49915,                0.20506,                 1.1446,                  2.757,                0.56294,                0.83334,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.3259,                 2.7037,                0.58707,                  0.823,                0.96803,                0.50982,                0.66777,                0.51914,                0.77724,                0.41046,                0.51023,                0.21237,                 1.1593,                 2.7722,                0.57041,                0.83259,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.3559,                 2.7222,                0.59517,                0.82385,                 0.9702,                0.51073,                0.66939,                0.51995,                0.76586,                0.40409,                0.49744,                  0.201,                  1.167,                 2.7986,                0.58496,                 0.8331,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.3136,                 2.6758,                0.57786,                0.82168,                0.97272,                0.51033,                0.66814,                0.52694,                0.79063,                0.41625,                0.51479,                0.21549,                 1.1199,                 2.7288,                0.56304,                0.83206,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3481,                 2.7214,                0.59391,                0.82386,                0.96874,                0.51076,                0.66794,                0.51838,                0.76556,                0.40406,                0.49394,                0.20001,                 1.1602,                 2.7694,                0.56977,                0.83266,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.329,                 2.6908,                0.58378,                0.82224,                0.97101,                0.51062,                0.66902,                0.52786,                0.78297,                 0.4132,                0.51113,                0.21452,                 1.1249,                 2.7391,                0.56225,                0.83183,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.3326,                 2.7101,                0.57982,                0.82123,                0.97188,                0.51073,                0.66948,                0.52631,                0.77977,                0.41081,                0.50687,                0.20813,                 1.1285,                 2.7408,                0.56137,                0.83187,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.3224,                 2.6873,                0.57673,                0.81968,                0.96916,                0.51083,                0.66829,                0.52687,                0.77064,                0.40722,                0.50252,                0.20572,                 1.1245,                  2.752,                   0.56,                0.83119,               0.001505,               0.001505,               0.001505
                     52,                 1.3422,                 2.7307,                0.59121,                0.82295,                 0.9692,                0.50928,                0.66731,                0.51463,                0.76891,                0.40487,                0.49938,                0.20101,                 1.1813,                 2.7576,                0.56436,                0.83291,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.3258,                 2.6873,                0.57879,                0.82106,                0.96624,                0.51121,                0.66868,                0.50119,                  0.746,                0.39566,                0.48087,                0.19337,                  1.243,                 2.9196,                0.58785,                0.83522,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.3191,                 2.6745,                 0.5748,                0.81924,                0.96652,                 0.5097,                0.66758,                0.50196,                 0.7538,                0.39821,                 0.4854,                0.19292,                 1.2149,                 2.7933,                0.57239,                0.83367,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.3361,                 2.6987,                0.58306,                0.82164,                0.96843,                0.51053,                0.66825,                 0.5255,                0.76477,                0.40465,                0.49875,                0.20465,                 1.1376,                  2.758,                0.56144,                0.83146,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.3221,                 2.6772,                 0.5796,                0.82104,                0.97179,                0.51013,                 0.6681,                0.52237,                0.76365,                0.40351,                0.49164,                0.19688,                 1.1316,                  2.724,                0.56432,                0.83173,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.3019,                 2.6532,                0.57461,                0.82009,                  0.972,                0.51063,                0.66855,                0.52413,                0.75978,                0.40161,                 0.4896,                0.19418,                 1.1296,                 2.7229,                0.56545,                0.83084,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.2953,                 2.6548,                0.57307,                 0.8202,                0.97034,                 0.5118,                0.67113,                0.52414,                0.77611,                0.41038,                0.50752,                0.21013,                 1.1329,                 2.7372,                0.57776,                0.83105,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2823,                 2.6422,                0.56409,                0.81891,                0.97137,                0.51103,                 0.6689,                0.52168,                0.77504,                0.40864,                 0.5063,                0.20678,                 1.1403,                 2.7337,                0.56732,                0.83095,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.2926,                  2.652,                0.56537,                0.81925,                0.96968,                0.51095,                0.66915,                0.53139,                0.78152,                0.41272,                0.50967,                0.21049,                 1.1023,                 2.7071,                 0.5441,                0.83044,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2754,                 2.6249,                0.56222,                0.81806,                0.97157,                0.51144,                0.66926,                 0.5315,                0.79701,                0.42022,                0.52552,                0.22409,                 1.0934,                 2.7314,                0.55412,                0.82948,               0.001406,               0.001406,               0.001406
                     62,                 1.2817,                 2.6508,                0.56653,                0.81937,                0.96985,                0.51135,                0.66979,                0.52784,                0.78229,                0.41246,                0.51103,                0.21382,                 1.1165,                 2.7492,                0.55268,                 0.8296,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2828,                 2.6393,                0.56707,                 0.8188,                0.97291,                0.51119,                0.66915,                0.53169,                 0.8027,                0.42278,                0.52739,                0.22752,                 1.0937,                 2.6899,                0.55058,                0.82937,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3141,                 2.6688,                0.57133,                0.81888,                0.97043,                0.51234,                0.66938,                0.52838,                0.77804,                0.41137,                0.50575,                0.20931,                 1.1072,                 2.7248,                0.55658,                0.82977,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2604,                 2.6104,                0.55538,                0.81695,                0.97223,                0.51107,                0.67199,                0.53434,                0.77808,                0.41066,                0.50837,                0.21285,                 1.0939,                 2.7273,                0.54224,                 0.8288,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3039,                 2.6549,                0.56904,                 0.8189,                0.96906,                0.51177,                0.66942,                0.51042,                0.75743,                0.40176,                0.48937,                0.19613,                 1.1824,                 2.7897,                0.57248,                0.83187,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.2774,                 2.6425,                0.57009,                0.81926,                0.97172,                0.51153,                0.66887,                0.53272,                0.78444,                0.41394,                0.51242,                0.21536,                 1.0905,                 2.7097,                0.54863,                0.82927,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.2809,                 2.6536,                0.56612,                0.81846,                0.97187,                0.51161,                0.66902,                0.53023,                0.77103,                0.40694,                0.49762,                 0.2012,                 1.0942,                 2.6946,                0.54482,                0.82916,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.2702,                  2.631,                0.55936,                0.81816,                0.97066,                0.51229,                0.66957,                0.52944,                0.77875,                 0.4121,                0.50861,                0.21082,                 1.1007,                 2.7078,                0.55106,                  0.829,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.288,                 2.6513,                0.56313,                0.81845,                 0.9739,                0.51121,                 0.6687,                0.53539,                0.78426,                0.41288,                0.51041,                0.21441,                 1.0755,                 2.6868,                0.53281,                0.82855,              0.0013169,              0.0013169,              0.0013169
                     71,                   1.28,                 2.6457,                0.56548,                0.81941,                0.97354,                0.51227,                0.66982,                 0.5346,                0.79846,                0.42005,                0.52226,                0.22128,                 1.0824,                 2.6864,                0.55097,                0.82828,               0.001307,               0.001307,               0.001307
                     72,                 1.3027,                 2.6618,                0.57365,                0.81909,                0.97115,                0.51197,                0.66946,                0.52244,                0.78117,                 0.4122,                0.50783,                 0.2111,                 1.1276,                 2.7246,                0.56169,                0.82941,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2684,                 2.6353,                0.55622,                 0.8167,                0.97108,                0.51133,                0.67028,                0.53699,                0.79037,                0.41676,                  0.519,                0.21943,                 1.0758,                 2.6999,                0.53471,                0.82836,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2598,                 2.6141,                0.55494,                0.81733,                0.97234,                0.51238,                0.67061,                0.53887,                0.78356,                0.41394,                 0.5127,                0.21389,                 1.0674,                 2.6934,                 0.5362,                0.82784,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2592,                 2.6262,                0.55558,                0.81727,                0.97168,                0.51202,                0.66976,                0.53453,                0.78461,                0.41398,                0.51281,                0.21489,                 1.0784,                 2.6957,                0.54899,                0.82879,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.2612,                  2.621,                0.55403,                0.81696,                0.97233,                0.51243,                0.67099,                0.53537,                0.78585,                0.41582,                0.51575,                0.21684,                 1.0848,                 2.6857,                0.54785,                 0.8284,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.2615,                 2.6271,                0.55382,                0.81703,                0.97318,                0.51235,                0.66975,                 0.5402,                0.79211,                0.41785,                0.51862,                0.22056,                 1.0645,                 2.7045,                0.53697,                0.82689,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.2624,                 2.6286,                0.55787,                0.81737,                0.97222,                0.51114,                0.66908,                0.52695,                0.78588,                0.41341,                0.51163,                0.21277,                 1.1058,                 2.6856,                0.54664,                0.82943,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.2556,                 2.6174,                0.57068,                0.81853,                0.97129,                0.51317,                0.67038,                0.53484,                0.77224,                0.40882,                0.50282,                0.20743,                 1.0866,                 2.6885,                0.54116,                0.82809,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.2686,                 2.6216,                0.55708,                0.81656,                0.97274,                0.51277,                0.67043,                0.53386,                0.79354,                0.41916,                0.52042,                0.21988,                 1.0784,                 2.6801,                0.54718,                0.82796,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.2402,                 2.5939,                0.54594,                0.81511,                0.97148,                0.51228,                0.67042,                0.51997,                0.77127,                0.40809,                0.49987,                0.20328,                 1.1371,                 2.7474,                0.56101,                0.82949,               0.001208,               0.001208,               0.001208
                     82,                 1.2366,                 2.5911,                0.54631,                0.81549,                0.97325,                0.51238,                 0.6709,                 0.5432,                0.79397,                0.41847,                 0.5229,                0.22336,                 1.0463,                 2.6626,                0.52654,                0.82696,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.2291,                 2.5764,                0.54006,                0.81579,                0.97249,                0.51205,                0.66976,                0.53278,                0.78116,                0.41251,                0.51077,                0.21471,                 1.0873,                 2.7017,                0.53921,                 0.8278,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.2529,                 2.6111,                0.54918,                0.81656,                0.97343,                0.51282,                0.67023,                0.53673,                0.79818,                0.42155,                0.52371,                 0.2219,                 1.0676,                 2.6641,                0.54248,                0.82766,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.2517,                 2.6015,                0.54819,                0.81596,                0.97149,                0.51293,                0.67075,                0.54022,                 0.7856,                 0.4162,                0.51743,                0.22024,                 1.0634,                 2.6862,                0.54208,                0.82693,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.2418,                 2.5913,                0.54431,                0.81598,                0.97136,                0.51287,                0.67156,                0.54351,                0.77358,                0.40971,                0.50638,                0.21427,                 1.0516,                 2.7096,                0.52906,                0.82671,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2345,                 2.5934,                0.54066,                0.81508,                0.97157,                0.51296,                0.67007,                0.54176,                0.78128,                0.41385,                 0.5117,                0.21539,                 1.0464,                 2.6799,                0.53395,                0.82674,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.2391,                 2.6047,                0.54996,                0.81619,                0.97332,                0.51275,                0.67038,                0.54045,                 0.7979,                0.42143,                0.52524,                0.22582,                 1.0575,                 2.6715,                0.53637,                0.82696,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.2303,                 2.5869,                 0.5435,                0.81582,                0.97343,                0.51305,                0.67029,                0.54066,                0.79623,                0.42056,                0.52313,                0.22232,                 1.0539,                 2.6587,                0.53896,                0.82717,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2369,                 2.5901,                0.54347,                0.81493,                0.97377,                0.51222,                0.66955,                0.53344,                0.79377,                0.41808,                0.51866,                0.22006,                 1.0799,                  2.697,                0.54672,                0.82735,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.2287,                 2.6059,                0.54603,                0.81672,                0.97291,                 0.5129,                0.67075,                0.54024,                0.77836,                0.41081,                 0.5079,                0.21199,                 1.0608,                 2.6721,                0.52781,                 0.8271,               0.001109,               0.001109,               0.001109
                     92,                  1.228,                 2.5895,                0.54532,                0.81659,                0.97276,                0.51242,                0.67061,                0.53988,                0.79409,                0.41902,                0.52286,                0.22236,                 1.0624,                 2.6702,                0.53367,                0.82666,              0.0010991,              0.0010991,              0.0010991
