                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.4362,                 1.9065,                0.60502,                0.88106,                0.92854,                0.77502,                 0.8472,                0.55472,                0.76266,                0.63311,                0.67291,                 0.2841,                 1.1616,                 1.9072,                0.53967,                0.86442,               0.009208,               0.009208,               0.009208
                     26,                  1.457,                 1.8952,                0.60022,                0.88006,                0.93799,                 0.8012,                0.84394,                0.50009,                0.83417,                 0.7121,                0.73901,                0.32926,                 1.2563,                 1.9431,                0.59238,                0.85544,               0.009175,               0.009175,               0.009175
                     27,                 1.4504,                 1.8725,                0.60228,                 0.8801,                0.93938,                0.78849,                0.83043,                0.53148,                0.83297,                0.71544,                0.73529,                  0.329,                 1.1579,                 1.9701,                0.52092,                0.86328,               0.009142,               0.009142,               0.009142
                     28,                 1.4077,                 1.8907,                0.59395,                0.88355,                0.93371,                0.76241,                0.83751,                0.48165,                0.81643,                0.67491,                0.72072,                0.30981,                 1.3776,                 1.9849,                  0.574,                0.86918,               0.009109,               0.009109,               0.009109
                     29,                 1.4348,                 1.8714,                0.60422,                  0.882,                0.94092,                 0.8179,                0.85524,                0.58581,                0.83944,                 0.7311,                 0.7517,                0.35013,                 1.0062,                 1.8571,                0.54515,                0.84961,               0.009076,               0.009076,               0.009076
                     30,                 1.4228,                 1.8739,                0.59066,                0.87931,                0.94451,                0.80789,                0.85881,                0.58993,                0.80788,                0.69222,                0.72178,                0.31976,                 1.0196,                 1.8769,                0.50562,                0.86316,               0.009043,               0.009043,               0.009043
                     31,                 1.4381,                 1.8689,                0.60059,                0.87814,                0.95691,                0.79244,                0.85972,                0.59531,                0.82118,                0.66884,                0.71264,                0.30967,                0.99668,                 1.9441,                0.48715,                0.84648,                0.00901,                0.00901,                0.00901
                     32,                 1.4098,                 1.8734,                 0.5928,                0.87848,                 0.9521,                0.79184,                0.85322,                0.58846,                0.83131,                0.69031,                0.73022,                0.34054,                 1.0162,                 1.8573,                 0.5288,                0.85847,               0.008977,               0.008977,               0.008977
                     33,                 1.3967,                 1.8551,                0.58709,                0.87787,                0.95043,                0.81576,                0.86266,                0.58279,                 0.8271,                0.71236,                0.74028,                 0.3312,                 1.0145,                 1.8192,                 0.5405,                0.84959,               0.008944,               0.008944,               0.008944
                     34,                 1.4196,                 1.9226,                0.59231,                0.88129,                0.88556,                0.77605,                0.82681,                0.51949,                0.72329,                0.62945,                0.65962,                0.28913,                  1.175,                 1.9268,                0.55518,                0.88636,               0.008911,               0.008911,               0.008911
                     35,                 1.4075,                 1.8683,                0.59402,                0.88288,                0.94329,                0.79667,                0.84922,                0.54994,                0.82652,                0.70119,                 0.7317,                0.32867,                 1.1287,                 1.9573,                0.51872,                0.85274,               0.008878,               0.008878,               0.008878
                     36,                 1.4169,                 1.8776,                0.58482,                0.87613,                0.94579,                0.80919,                  0.856,                0.57365,                0.75355,                0.65261,                0.66307,                0.26795,                 1.0482,                 1.8853,                0.53161,                0.85538,               0.008845,               0.008845,               0.008845
                     37,                 1.3994,                 1.8853,                0.58151,                0.87749,                0.93753,                 0.8007,                0.85427,                 0.5835,                0.82249,                0.70475,                0.73348,                0.32358,                 1.0325,                  1.921,                0.49495,                0.84868,               0.008812,               0.008812,               0.008812
                     38,                 1.3961,                  1.861,                0.58191,                0.88076,                0.94197,                0.79598,                0.86022,                0.57143,                0.76899,                0.64417,                0.69559,                0.30368,                 1.0825,                 1.8932,                0.51569,                0.85919,               0.008779,               0.008779,               0.008779
                     39,                 1.4078,                 1.8529,                0.58645,                0.87479,                0.94564,                0.80019,                0.85761,                0.56839,                 0.8124,                0.67809,                0.71145,                0.30757,                   1.07,                 1.9277,                0.53819,                0.84682,               0.008746,               0.008746,               0.008746
                     40,                 1.3899,                 1.8649,                0.57886,                0.87742,                0.94449,                0.79946,                0.86022,                0.58498,                 0.7764,                0.65865,                0.69154,                0.29558,                 1.0748,                 2.0192,                 0.5157,                0.87999,               0.008713,               0.008713,               0.008713
                     41,                 1.3818,                  1.846,                0.58302,                0.87987,                 0.7822,                0.53072,                0.68112,                0.41218,                0.68237,                0.46299,                0.54745,                0.22592,                 1.1511,                 1.8698,                 1.8364,                0.87194,                0.00868,                0.00868,                0.00868
