DropletSize,CumulativeFraction
0.06675413550696788,0.0008598452278589854
0.10656866501965792,0.0017196904557179708
0.19063489103446607,0.0025795356835769563
0.24336463014550697,0.0034393809114359416
0.34596536801624755,0.004299226139294927
0.3580273541996965,0.005159071367153913
0.39239052479526193,0.0060189165950128975
0.4061815662785839,0.006878761822871883
0.5902963099527203,0.007738607050730868
0.6116413526657967,0.008598452278589854
0.6124106697962677,0.009458297506448839
0.6588587426251923,0.010318142734307825
0.6611354938250777,0.01117798796216681
0.6630977877795251,0.012037833190025795
0.732200310678857,0.012897678417884782
0.803638149720572,0.013757523645743766
0.8126594218837653,0.014617368873602751
0.814824393504728,0.015477214101461736
0.8383788696578154,0.01633705932932072
0.8527743808798411,0.017196904557179708
0.8593704335437558,0.018056749785038694
0.8711573678732916,0.018916595012897677
0.9234241039050568,0.019776440240756664
0.9456409628158382,0.02063628546861565
0.9529564666586828,0.021496130696474634
0.9595942554565116,0.02235597592433362
0.9621815081362173,0.023215821152192607
0.9634213942854473,0.02407566638005159
0.9719101207963392,0.024935511607910577
1.0150683776055747,0.025795356835769563
1.0196429342074003,0.026655202063628546
1.0266725010618944,0.027515047291487533
1.0473442576944563,0.028374892519346516
1.0492415145768532,0.029234737747205503
1.059341673937415,0.03009458297506449
1.0723409084756292,0.030954428202923472
1.085349958172876,0.03181427343078246
1.16221988302202,0.03267411865864144
1.1631909617694556,0.03353396388650043
1.1698181950257642,0.034393809114359415
1.1765393586109751,0.0352536543422184
1.1788446448380092,0.03611349957007739
1.1809133367869578,0.03697334479793637
1.190750503831702,0.037833190025795355
1.1973219207489891,0.03869303525365434
1.2093732698673634,0.03955288048151333
1.2128777151201684,0.040412725709372314
1.2384443324060013,0.0412725709372313
1.2401543954295469,0.04213241616509028
1.2548061419124166,0.04299226139294927
1.2617469940053199,0.043852106620808254
1.264269213660612,0.04471195184866724
1.2834331925638163,0.04557179707652623
1.295645233249221,0.046431642304385214
1.301244496622175,0.04729148753224419
1.3121126398726588,0.04815133276010318
1.3603040228118828,0.049011177987962166
1.3634251660490382,0.04987102321582115
1.3667183040084383,0.05073086844368014
1.389963902051748,0.051590713671539126
1.390975268066985,0.052450558899398106
1.4012051135046204,0.05331040412725709
1.4105403589068288,0.05417024935511608
1.420954418573488,0.055030094582975066
1.4301106916029984,0.05588993981083405
1.4344063734297958,0.05674978503869303
1.453260035722471,0.05760963026655202
1.4644841028391617,0.058469475494411005
1.467260312296288,0.05932932072226999
1.469945075925508,0.06018916595012898
1.4889910922967309,0.061049011177987965
1.5073921344324743,0.061908856405846945
1.5082924100442452,0.06276870163370593
1.5121089524970728,0.06362854686156492
1.5296651209467549,0.0644883920894239
1.5389904148465474,0.06534823731728288
1.5467726171767144,0.06620808254514188
1.5547666390436934,0.06706792777300086
1.5727526061099844,0.06792777300085985
1.5735856146492182,0.06878761822871883
1.591845622293973,0.06964746345657781
1.596312016271069,0.0705073086844368
1.6299455708265285,0.07136715391229578
1.6316943981685674,0.07222699914015478
1.6353029757461717,0.07308684436801376
1.6376387511170947,0.07394668959587274
1.6448009469159346,0.07480653482373173
1.645159207004178,0.07566638005159071
1.6619641717660087,0.0765262252794497
1.663211428838324,0.07738607050730868
1.6659881663842024,0.07824591573516768
1.6743492320625075,0.07910576096302666
1.675323398769793,0.07996560619088564
1.684453701347989,0.08082545141874463
1.7294115624752753,0.08168529664660361
1.7306927440137028,0.0825451418744626
1.735436769576849,0.08340498710232158
1.735761950197079,0.08426483233018056
1.7488902639198838,0.08512467755803955
1.7489092059041158,0.08598452278589853
1.7621751823071077,0.08684436801375753
1.7763543804226942,0.08770421324161651
1.7876187101517875,0.0885640584694755
1.7895729052055447,0.08942390369733448
1.8079719241760195,0.09028374892519346
1.81099382948168,0.09114359415305245
1.821521721038136,0.09200343938091143
1.8398990548690943,0.09286328460877043
1.8510392786116279,0.0937231298366294
1.855059279024388,0.09458297506448839
1.8571709805314898,0.09544282029234738
1.8756567765036865,0.09630266552020636
1.8881502620765036,0.09716251074806535
1.9024116138369496,0.09802235597592433
1.9118146118205501,0.09888220120378331
1.9330179173551123,0.0997420464316423
1.9515094333211305,0.10060189165950129
1.951813904910775,0.10146173688736028
1.959064203253092,0.10232158211521926
1.9603165086740888,0.10318142734307825
1.9746133058927033,0.10404127257093723
1.9845125253927804,0.10490111779879621
1.9864876523967347,0.1057609630266552
1.9915839208112727,0.10662080825451418
1.9972030017534639,0.10748065348237318
2.000915544013789,0.10834049871023216
2.0025531492226833,0.10920034393809114
2.003393741588944,0.11006018916595013
2.0163996577761267,0.11092003439380911
2.0319615245062734,0.1117798796216681
2.03357597272766,0.11263972484952708
2.0377987043419323,0.11349957007738606
2.0475452443044784,0.11435941530524506
2.0504368160259894,0.11521926053310404
2.0570412002966547,0.11607910576096303
2.063879231668047,0.11693895098882201
2.0716635654365545,0.117798796216681
2.0731258494215465,0.11865864144453998
2.0887473939778496,0.11951848667239896
2.095897192656378,0.12037833190025796
2.102565782852639,0.12123817712811694
2.102574841557872,0.12209802235597593
2.1036155001422956,0.12295786758383491
2.1332706723589157,0.12381771281169389
2.162882638999345,0.12467755803955288
2.166547251745034,0.12553740326741186
2.168733217872958,0.12639724849527084
2.1721654783840303,0.12725709372312985
2.2089693034855733,0.12811693895098883
2.215499796688661,0.1289767841788478
2.2181785070099522,0.1298366294067068
2.228058459529413,0.13069647463456577
2.2482372720284527,0.13155631986242478
2.2668665708995173,0.13241616509028376
2.2940441339340367,0.13327601031814273
2.2945633962469016,0.13413585554600171
