method,VMD_error,RSF_error,CoveragePercentage_error,NoDroplets_error,VMD_median,RSF_median,CoveragePercentage_median,NoDroplets_median,VMD_std,RSF_std,CoveragePercentage_std,NoDroplets_std,VMD_max,RSF_max,CoveragePercentage_max,NoDroplets_max
droplet_synthetic_dataset_yolo,0.1370009465445019,0.2866211550787697,0.4064348586870634,0.2031493833779053,0.1293239424776157,0.1757595279837449,0.4030898122393248,0.1666666666666666,0.0800752835184809,0.3135227256287947,0.1307274551339162,0.141594633629389,0.3848866287369378,1.9913401779086315,0.8566625519750519,0.7727272727272727
droplet_real_dataset_yolo,0.4651756298651917,1.757313707783545,0.7799277895068691,0.5023290747993394,0.4124175905475062,0.8769632869509127,0.7517903645833333,0.5003903200624512,0.2799462731443433,1.887079148649956,0.1102120128446351,0.2754878533500044,1.0,5.671400813810534,1.0,1.0
droplet_synthetic_dataset_ccv,0.1017231892055023,0.4831860464548219,0.0818028211408338,0.191592580970345,0.0827110346728439,0.3117270518278172,0.0576764913466665,0.1818181818181818,0.0793761425862479,0.5300373455087465,0.0905917590183106,0.1058131585865022,0.629589498439437,4.406997927174698,0.6506980088629328,0.7897727272727273
droplet_real_dataset_ccv,0.1347998787197758,inf,0.7919494676844475,0.2820851720969902,0.1316976218920258,0.7986529923704372,0.2155905543363006,0.0947603121516164,0.1203032965578165,,1.899109409713809,0.5540746625415063,0.4460392203830907,inf,6.789855072463769,2.0
droplet_real_dataset_mrcnn,2.355658578741657,0.7710739061346631,2.435520061896615,0.7139976856953776,0.2200466722364614,0.4449733811446929,0.7322096065788244,0.8032786885245902,6.565936578215434,0.777447341169262,5.7344157076987,0.249503492917534,22.12429580726237,2.544675553994367,19.710882984433702,1.0
droplet_real_dataset_mrcnn,2.355658578741657,0.7710739061346631,2.435520061896615,0.7139976856953776,0.2200466722364614,0.4449733811446929,0.7322096065788244,0.8032786885245902,6.565936578215434,0.777447341169262,5.7344157076987,0.249503492917534,22.12429580726237,2.544675553994367,19.710882984433702,1.0
droplet_synthetic_dataset_mrcnn,0.1181392515845004,0.3186935274500553,0.7234362580229399,0.7408976310868995,0.0841555216494363,0.2556333613561234,0.7490905040615068,0.7879791290387317,0.1293382259107303,0.61396568569291,0.2363636750731832,0.1783199666548682,1.0,14.3311749716829,4.236612196553604,1.0
droplet_real_dataset_mrcnn,6.046879565666794,0.574994447500853,3.579034482500096,0.6679018155181367,1.0,0.5590631396963256,0.8291015625,0.7704918032786885,11.701732991241382,0.4205534372013226,6.519742497687605,0.2745148893287806,33.775740278287266,1.2563075732495994,19.76170826623725,1.0
droplet_real_dataset_mrcnn,6.046879565666794,0.574994447500853,3.579034482500096,0.6679018155181367,1.0,0.5590631396963256,0.8291015625,0.7704918032786885,11.701732991241382,0.4205534372013226,6.519742497687605,0.2745148893287806,33.775740278287266,1.2563075732495994,19.76170826623725,1.0
droplet_real_dataset_mrcnn,6.046879565666794,0.574994447500853,3.579034482500096,0.6679018155181367,1.0,0.5590631396963256,0.8291015625,0.7704918032786885,11.701732991241382,0.4205534372013226,6.519742497687605,0.2745148893287806,33.775740278287266,1.2563075732495994,19.76170826623725,1.0
droplet_real_dataset_mrcnn,6.046879565666794,0.574994447500853,3.579034482500096,0.6679018155181367,1.0,0.5590631396963256,0.8291015625,0.7704918032786885,11.701732991241382,0.4205534372013226,6.519742497687605,0.2745148893287806,33.775740278287266,1.2563075732495994,19.76170826623725,1.0
droplet_synthetic_dataset_mrcnn,0.4169303639933421,0.32934692173569174,0.7123403632316075,0.7148210776323024,0.33719428866499224,0.2355094179981353,0.7321352250754575,0.7719845513963162,0.3514217086695997,0.8159186739410544,0.2784480404148684,0.1858574701588697,2.8782198066438984,13.795406938306966,4.717742014597394,1.0
